TCS Status,TCS Comments,Key,OnShore QA Validation,Onshore QA Review Date,Status,Sub-Projects,Vendor,State,County,Document Year,Doc Number,Recording Date,Issue Type,Recording Book,Recording Page,Deed,DAMAR Type,3072 Fields,ADC,Summary,Description,Transmission Date,Created,Batch Date,Type of Error,Sample Data,Assignee,Critical/Non Critical
,,ETQA-29455,,,Open,Transaction QA,TCS,OH,STARK,2023,12519,2023-04-24,Defect,,,G,WD,23_Document Transfer Tax,,Local - Field 23 = BLANK; it s/b 258.00,Field 23 = User missed to capture DTT amount,2023-05-11,2023-05-18 16:35:19,,Keying error,4-30 to 5-16,,Critical
,,ETQA-29454,,,Open,Transaction QA,TCS,FL,UNION,2023,1006,2023-04-24,Defect,442,148,J,PM,75_Filler 5/NY APN #9 (byte 2-3 of 3) / Florida Plat Source,,Local - Field 75 = UN; it s/b XX,Field 75 = User capture incorrect florida plat source,2023-05-11,2023-05-18 16:35:18,,Keying error,4-30 to 5-11,,Non-Critical
,,ETQA-29453,,,Open,Transaction QA,TCS,FL,UNION,2023,1006,2023-04-24,Defect,442,148,J,PM,13_Buyer/Borrower Street Address,,Local - Field 13 = 15322 SW 91ST; it s/b 15322 SW 91ST WAY,Field 13 = User capture incorrect street address,2023-05-11,2023-05-18 16:35:17,,Keying error,4-30 to 5-10,,Critical
,,ETQA-29452,,,Open,Transaction QA,TCS,TX,LUBBOCK,2023,14484,2023-04-21,Defect,,,T,TR,110_Buyer/Borrower 2 Relationship Type,,Local - Field 110 = BLANK; it s/b HW,Field 110 = User missed to capture buyer 2 relationship type,2023-05-11,2023-05-18 16:35:16,,Keying error,4-30 to 5-7,,Non-Critical
,,ETQA-29205,,,Open,IRM monitoring,TCS,FL,SAINT LUCIE,2023,5178660,2023-04-13,Defect,4974,2982,G,WD,5_Document Number,,5178663 s/b 5178660,Incorrect document number keyed,2023-05-15,2023-05-18 16:30:34,2023-04-28,Keying error,,,Critical
,,ETQA-29204,,,Open,IRM monitoring,TCS,FL,SAINT LUCIE,2023,5178654,2023-04-13,Defect,4974,2943,G,WD,5_Document Number,,5178663 s/b 5178654,Incorrect document number keyed,2023-05-15,2023-05-18 16:30:33,2023-04-28,Keying error,,,Critical
,,ETQA-29203,,,Open,IRM monitoring,TCS,FL,SAINT LUCIE,2023,5178642,2023-04-13,Defect,4974,2884,G,WD,5_Document Number,,5178663 s/b 5178642,Incorrect document number keyed,2023-05-15,2023-05-18 16:30:32,2023-04-28,Keying error,,,Critical
,,ETQA-29202,,,Open,IRM monitoring,TCS,NJ,BURLINGTON,2023,5825927,2023-04-21,Defect,13667,5299,G,BA,5_Document Number,,5825940 s/b 5825927,Incorrect document number keyed,2023-05-15,2023-05-18 16:30:30,2023-05-03,Keying error,,,Critical
,,ETQA-29201,,,Open,IRM monitoring,TCS,NJ,BURLINGTON,2023,5825933,2023-04-21,Defect,13667,5369,G,DD,5_Document Number,,5825940 s/b 5825933,Incorrect document number keyed,2023-05-15,2023-05-18 16:30:29,2023-05-03,Keying error,,,Critical
,,ETQA-28218,,,Open,Transaction QA,TCS,CO,DENVER,2023,37539,2023-04-25,Defect,,,J,AB,,66_Interest Rate (99v9999),Local - Field 66 = 080000; it s/b Blank,"Field 66 = Don't consider this as interest rate, because ""Interest"" word is not available",2023-05-11,2023-05-14 18:12:07,2023-05-01,Keying error,04/30 to 05/07,,Non-Critical
,,ETQA-28217,,,Open,Transaction QA,TCS,KY,KENTON,2023,188,2023-04-21,Defect,223,249,J,SX,,16_Taxpayer/Defendant or Company Mailing Street Address,Local - Field 16 = 875 AVENUE OF THE AMERICAS 14TH FL NEW YORK; it s/b 875 AVENUE OF THE AMERICAS 14TH FL,Field 16 = User capture incorrect malling address,2023-05-11,2023-05-14 18:12:06,2023-05-04,Keying error,04/30 to 05/07,,Critical
,,ETQA-28216,,,Open,Transaction QA,TCS,CA,GLENN,2023,898,2023-04-03,Defect,,,L,SE,,61_Abstract Issued on Date,Local - Field 61 = 05132022; it s/b 05132021,Field 61 = User captured incorrect date,2023-05-11,2023-05-14 18:12:05,2023-05-01,Keying error,04/30 to 05/07,,Non-Critical
,,ETQA-28215,,,Open,Transaction QA,TCS,CA,AMADOR,2023,2089,2023-04-24,Defect,,,L,SE,,178_Bankruptcy Court City,Local - Field 178 = nan; it s/b EL PASO,Field 178 = user captured name in place of EL PASO city name,2023-05-11,2023-05-14 18:12:04,2023-05-01,Keying error,04/30 to 05/07,,Non-Critical
,,ETQA-28214,,,Open,Transaction QA,TCS,MI,KALAMAZOO,2023,8418,2023-04-20,Defect,,,J,CX,,62_Creditor Name,Local - Field 62 = KALAMAZOO COUNTY TREASURER; it s/b MICHIGAN DEPARTMENT OF TREASURY,Field 62 = User need to capture department instead of designation name,2023-05-11,2023-05-14 18:12:03,2023-05-04,Keying error,04/30 to 05/07,,Non-Critical
,,ETQA-28213,,,Open,Transaction QA,TCS,MI,KALAMAZOO,2023,8924,2023-04-20,Defect,,,J,CX,,62_Creditor Name,Local - Field 62 = KALAMAZOO COUNTY TREASURER; it s/b MICHIGAN DEPARTMENT OF TREASURY,Field 62 = User need to capture department instead of designation name,2023-05-11,2023-05-14 18:12:02,2023-05-03,Keying error,04/30 to 05/07,,Non-Critical
,,ETQA-28212,,,Open,Transaction QA,TCS,MI,KALAMAZOO,2023,8372,2023-04-20,Defect,,,J,CX,,62_Creditor Name,Local - Field 62 = KALAMAZOO COUNTY TREASURER; it s/b MICHIGAN DEPARTMENT OF TREASURY,Field 62 = User need to capture department instead of designation name,2023-05-11,2023-05-14 18:12:01,2023-05-04,Keying error,04/30 to 05/07,,Non-Critical
,,ETQA-28211,,,Open,Transaction QA,TCS,OH,CLERMONT,2023,6774,2023-04-20,Defect,2942,4456,U,SD,139_Attorney Name,,Local - Field 139 = CLUNK HOOSE CO; it s/b CLUNK HOOSE CO LPA,Field 139 = User capture attorney name incorrectly,2023-05-11,2023-05-14 18:12:00,2023-05-04,Keying error,04/30 to 05/07,,Non-Critical
,,ETQA-28210,,,Open,Transaction QA,TCS,OH,PICKAWAY,2023,2169,2023-04-21,Defect,802,395,U,SD,10_Buyer/Borrower/Defendant 1 First Name or Company Name,,Local - Field 10 = CAMBRIDGE NATIONAL HOLDINGS LL; it s/b CAMBRIDGE NAT'L HLDGS LLC,Field 10 = User has incorrectly capture buyer name,2023-05-11,2023-05-14 18:11:59,2023-05-05,Keying error,04/30 to 05/07,,Critical
,,ETQA-28209,,,Open,Transaction QA,TCS,CO,ADAMS,2023,22551,2023-04-25,Defect,,,N,NT,18_Lender/Lender First Name/Beneficiary/Company Name,,Local - Field 18 = FEDERAL HM LN MTG #2021-1 (CE); it s/b FEDERAL HM LN MTG 2021-1 (CE),Field 18 = In SOP there is no keyword to Trucat Series as #,2023-05-11,2023-05-14 18:11:58,2023-05-02,Keying error,04/30 to 05/07,,Critical
,,ETQA-28208,,,Open,Transaction QA,TCS,CA,RIVERSIDE,2023,118159,2023-04-26,Defect,,,U,TE,7_Title Company Code,,Local - Field 7 = BLANK; it s/b 00001,Field 7 = User has capture the title order number in Respective fields however default code not generated in field no 7,2023-05-11,2023-05-14 18:11:57,2023-05-03,Keying error,04/30 to 05/07,,Critical
,,ETQA-28207,,,Open,Transaction QA,TCS,CA,AMADOR,2023,2114,2023-04-25,Defect,,,U,TE,25_Seller/Grantor/Plaintiff 1 First Name or Company Name,,Local - Field 25 = NATIONAL DEFAULT SVCNG CO (CE); it s/b NATIONAL DEFAULT SERVICIN (CE),Field 25 = User has incorrectly capture seller name,2023-05-11,2023-05-14 18:11:56,2023-05-04,Keying error,04/30 to 05/07,,Critical
